,ncatala,hulat-taskAB,VSP,abravo,TALP,lsi_uned,lsi2_uned,jlcuad,uhmajakd,iakesg
scenario1-correct_A,483,475,388,513,510,409,399,388,495,437
scenario1-correct_B,138,0,83,34,236,135,27,37,68,0
scenario1-f1,0.6218164344065353,0.5412647374062165,0.42894507410636445,0.5815748841996912,0.639412997903564,0.5473330129745314,0.4934065934065935,0.43091787439613516,0.5189309576837416,0.48693333333333333
scenario1-incorrect_A,37,52,32,46,51,43,52,32,34,122
scenario1-missing_A,65,50,175,42,43,134,140,175,69,39
scenario1-missing_B,438,576,493,542,340,441,549,539,508,576
scenario1-partial_A,52,60,42,36,33,51,46,42,39,39
scenario1-precision,0.7453917050691244,0.7733537519142419,0.4551341350601295,0.773972602739726,0.6505972696245734,0.6561059907834101,0.7397034596375618,0.5204200700116686,0.564437984496124,0.6895770392749244
scenario1-recall,0.5333882934872217,0.416323165704864,0.40560593569661996,0.46578730420445175,0.6286067600989282,0.46949711459192084,0.37015663643858204,0.3676834295136026,0.4802143446001649,0.3763396537510305
scenario1-spurious_A,53,66,268,52,59,55,53,268,75,64
scenario1-spurious_B,105,0,268,49,283,175,30,90,321,0
scenario1-submit,576548,577222,576661,576683,576640,575160,575373,576559,576721,576599
scenario2-correct_A,473,492,355,518,518,436,423,501,518,435
scenario2-correct_B,0,0,50,0,228,0,0,0,0,0
scenario2-f1,0.7872841444270017,0.7757847533632287,0.5466377440347071,0.8166666666666667,0.8202589489718203,0.7543281121187139,0.7314662273476112,0.7903469079939669,0.8156297420333839,0.6825278810408922
scenario2-incorrect_A,33,53,35,48,44,34,34,52,30,123
scenario2-missing_A,83,47,210,38,43,133,147,47,59,40
scenario2-missing_B,592,592,542,592,364,592,592,592,592,592
scenario2-partial_A,57,54,46,42,41,43,42,46,39,48
scenario2-precision,0.7985668789808917,0.75,0.5128900949796472,0.7997032640949555,0.8073463268365817,0.8068783068783069,0.7816901408450704,0.7705882352941177,0.7998511904761905,0.6566523605150214
scenario2-recall,0.7763157894736842,0.8034055727554179,0.5851393188854489,0.8343653250773994,0.8335913312693498,0.708204334365325,0.6873065015479877,0.8111455108359134,0.8320433436532507,0.7105263157894737
scenario2-spurious_A,65,93,301,66,64,54,69,81,85,93
scenario2-spurious_B,0,0,376,0,271,0,0,0,0,0
scenario2-submit,575664,576622,576664,577194,576640,575160,574805,576559,575403,576606
scenario3-correct_A,615,615,615,615,613,615,615,615,615,615
scenario3-correct_B,214,40,241,200,336,265,40,40,248,213
scenario3-f1,0.49308755760368655,0.12307692307692308,0.49334698055271237,0.22975301550832858,0.6268656716417911,0.5337361530715005,0.12307692307692308,0.12307692307692308,0.43356643356643354,0.43558282208588955
scenario3-incorrect_A,0,0,0,0,0,0,0,0,0,0
scenario3-missing_A,0,0,0,0,0,0,0,0,0,0
scenario3-missing_B,354,528,327,368,232,303,528,528,320,355
scenario3-partial_A,0,0,0,0,2,0,0,0,0,0
scenario3-precision,0.7133333333333334,0.4878048780487805,0.589242053789731,0.17050298380221654,0.6666666666666666,0.6235294117647059,0.4878048780487805,0.4878048780487805,0.4305555555555556,0.5195121951219512
scenario3-recall,0.3767605633802817,0.07042253521126761,0.4242957746478873,0.352112676056338,0.5915492957746479,0.4665492957746479,0.07042253521126761,0.07042253521126761,0.43661971830985913,0.375
scenario3-spurious_A,0,0,0,0,0,0,0,0,0,0
scenario3-spurious_B,86,42,168,973,168,160,42,42,328,197
scenario3-submit,576546,576622,576669,577194,576640,575160,574805,576559,577254,576606

