,_baseline,abravo,hulat-taskAB,iakesg,jlcuad,lsi2_uned,lsi_uned,ncatala,talp,uhmajakd,vsp
scenario1-correct_A,388,513,475,437,388,399,409,483,510,495,388
scenario1-correct_B,37,34,0,0,37,27,135,138,236,68,83
scenario1-f1,0.43091787439613516,0.5815748841996912,0.5412647374062165,0.48693333333333333,0.43091787439613516,0.4934065934065935,0.5473330129745314,0.6218164344065353,0.639412997903564,0.5189309576837416,0.42894507410636445
scenario1-incorrect_A,32,46,52,122,32,52,43,37,51,34,32
scenario1-missing_A,175,42,50,39,175,140,134,65,43,69,175
scenario1-missing_B,539,542,576,576,539,549,441,438,340,508,493
scenario1-partial_A,42,36,60,39,42,46,51,52,33,39,42
scenario1-precision,0.5204200700116686,0.773972602739726,0.7733537519142419,0.6895770392749244,0.5204200700116686,0.7397034596375618,0.6561059907834101,0.7453917050691244,0.6505972696245734,0.564437984496124,0.4551341350601295
scenario1-recall,0.3676834295136026,0.46578730420445175,0.416323165704864,0.3763396537510305,0.3676834295136026,0.37015663643858204,0.46949711459192084,0.5333882934872217,0.6286067600989282,0.4802143446001649,0.40560593569661996
scenario1-spurious_A,268,52,66,64,268,53,55,53,59,75,268
scenario1-spurious_B,90,49,0,0,90,30,175,105,283,321,268
scenario1-submit,submit_baseline_test,576683,577222,576599,576559,575373,575160,576548,576640,576721,576661
scenario2-correct_A,355,518,492,435,501,423,436,473,518,518,355
scenario2-correct_B,0,0,0,0,0,0,0,0,228,0,50
scenario2-f1,0.5466377440347071,0.8166666666666667,0.7757847533632287,0.6825278810408922,0.7903469079939669,0.7314662273476112,0.7543281121187139,0.7872841444270017,0.8202589489718203,0.8156297420333839,0.5466377440347071
scenario2-incorrect_A,35,48,53,123,52,34,34,33,44,30,35
scenario2-missing_A,210,38,47,40,47,147,133,83,43,59,210
scenario2-missing_B,592,592,592,592,592,592,592,592,364,592,542
scenario2-partial_A,46,42,54,48,46,42,43,57,41,39,46
scenario2-precision,0.5128900949796472,0.7997032640949555,0.75,0.6566523605150214,0.7705882352941177,0.7816901408450704,0.8068783068783069,0.7985668789808917,0.8073463268365817,0.7998511904761905,0.5128900949796472
scenario2-recall,0.5851393188854489,0.8343653250773994,0.8034055727554179,0.7105263157894737,0.8111455108359134,0.6873065015479877,0.708204334365325,0.7763157894736842,0.8335913312693498,0.8320433436532507,0.5851393188854489
scenario2-spurious_A,301,66,93,93,81,69,54,65,64,85,301
scenario2-spurious_B,0,0,0,0,0,0,0,0,271,0,376
scenario2-submit,submit_baseline_test,577194,576622,576606,576559,574805,575160,575664,576640,575403,576664
scenario3-correct_A,615,615,615,615,615,615,615,615,613,615,615
scenario3-correct_B,40,200,40,213,40,40,265,214,336,248,241
scenario3-f1,0.12307692307692308,0.22975301550832858,0.12307692307692308,0.43558282208588955,0.12307692307692308,0.12307692307692308,0.5337361530715005,0.49308755760368655,0.6268656716417911,0.43356643356643354,0.49334698055271237
scenario3-incorrect_A,0,0,0,0,0,0,0,0,0,0,0
scenario3-missing_A,0,0,0,0,0,0,0,0,0,0,0
scenario3-missing_B,528,368,528,355,528,528,303,354,232,320,327
scenario3-partial_A,0,0,0,0,0,0,0,0,2,0,0
scenario3-precision,0.4878048780487805,0.17050298380221654,0.4878048780487805,0.5195121951219512,0.4878048780487805,0.4878048780487805,0.6235294117647059,0.7133333333333334,0.6666666666666666,0.4305555555555556,0.589242053789731
scenario3-recall,0.07042253521126761,0.352112676056338,0.07042253521126761,0.375,0.07042253521126761,0.07042253521126761,0.4665492957746479,0.3767605633802817,0.5915492957746479,0.43661971830985913,0.4242957746478873
scenario3-spurious_A,0,0,0,0,0,0,0,0,0,0,0
scenario3-spurious_B,42,973,42,197,42,42,160,86,168,328,168
scenario3-submit,submit_baseline_test,577194,576622,576606,576559,574805,575160,576546,576640,577254,576669

